restaurant_id,restaurant_name,locality,cuisine,dish_name,price,food_type,spice_level,rating,description,source,last_updated
ngp_001,Keshav Tarri Poha,Dharampeth,Street Food,Kanda Tarri Poha with Chana Rassa,60,veg,4,4.7,Nagpur's iconic morning breakfast featuring flattened rice submerged in spicy chana tarri gravy and topped with sev.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_002,Ramji Shyamji Pohewale,Sitabuldi,Street Food,Nagpuri Saoji Tarri Poha,70,veg,5,4.8,Legendary fiery breakfast poha loaded with spiced brown chickpeas and thick red oil gravy.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_003,Veeraswami,Sadar,South Indian,Ghee Roast Butter Masala Dosa,160,veg,2,4.6,Crispy golden crepe roasted in pure ghee stuffed with tempered potato masala served with coconut chutney and sambar.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_004,Suruchi Misal,Dharampeth,Maharashtrian,Kolhapuri & Nagpuri Tarri Misal,110,veg,4,4.5,Zesty sprouted bean curry topped with crunchy farsan onions lemon and buttered pav.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_005,Jagdish Saoji Bhojnalaya,Mahal,Saoji,Special Saoji Mutton Thali,380,non-veg,5,4.9,Authentic Vidarbha Saoji preparation made with secret 32-spice blend rich black pepper and tender goat meat.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_006,Shankar Saoji,Gandhibagh,Saoji,Spicy Saoji Chicken Rassa,290,non-veg,5,4.7,Fiery countryside chicken cooked slow in iron kadai with authentic aromatic Vidarbha spices.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_007,Priti Saoji Bhojnalaya,Ramdaspeth,Saoji,Saoji Paneer Tikka Masala,220,veg,4,4.4,Vegetarian adaptation of the fiery Saoji gravy with char-grilled paneer cubes and coriander.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_008,Haldiram's Thhat Baat,Dharampeth,North Indian,Royal North Indian Thali,320,veg,2,4.6,Elaborate vegetarian spread with Paneer Makhani Dal Makhani Pulao Naan Raita and Gulab Jamun.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_009,Haldiram's Planet Food,Sitabuldi,Street Food,Delhi Style Chole Bhature,150,veg,3,4.7,Fluffy puffed bhature paired with dark spicy Punjabi chole pickles and mint onions.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
ngp_010,Babbu Hotel,Sadar,Mughlai,Dum Biryani with Chicken Chaap,260,non-veg,3,4.5,Fragrant long-grain basmati rice layered with marinated chicken spices and served with rich gravy.,Nagpur Local Food Guide (Demo Dataset),2026-03-15
